yw_dt,payment_value
2017-01-02,84.59
2017-01-09,302.80999999999995
2017-01-16,1525.9999999999998
2017-01-23,1382.6999999999998
2017-01-30,3523.66
2017-02-06,5013.130000000001
2017-02-13,5340.0700000000015
2017-02-20,3663.11
2017-02-27,6194.46
2017-03-06,7475.93
2017-03-13,6147.630000000001
2017-03-20,7011.660000000002
2017-03-27,7248.1299999999965
2017-04-03,6547.979999999999
2017-04-10,3072.8799999999987
2017-04-17,7358.5
2017-04-24,7692.320000000001
2017-05-01,5907.14
2017-05-08,8525.299999999997
2017-05-15,7855.640000000001
2017-05-22,11495.960000000001
2017-05-29,7618.51
2017-06-05,9850.519999999999
2017-06-12,9437.52
2017-06-19,7382.750000000004
2017-06-26,11476.120000000006
2017-07-03,14253.550000000003
2017-07-10,18016.250000000007
2017-07-17,20308.610000000004
2017-07-24,13340.050000000005
2017-07-31,12247.590000000004
2017-08-07,17369.280000000006
2017-08-14,17319.780000000002
2017-08-21,11519.260000000002
2017-08-28,11826.629999999997
2017-09-04,10890.979999999998
2017-09-11,18135.890000000007
2017-09-18,16957.389999999992
2017-09-25,11922.030000000006
2017-10-02,9137.339999999998
2017-10-09,10879.99
2017-10-16,13710.539999999997
2017-10-23,13551.66
2017-10-30,13128.380000000001
2017-11-06,15671.949999999995
2017-11-13,15241.479999999998
2017-11-20,45569.74999999996
2017-11-27,25019.75
2017-12-04,15380.889999999996
2017-12-11,12520.759999999997
2017-12-18,11394.72
2017-12-25,10150.01
2018-01-01,16465.62
2018-01-08,21667.779999999988
2018-01-15,17352.949999999997
2018-01-22,19699.540000000005
2018-01-29,20493.159999999993
2018-02-05,18759.17000000001
2018-02-12,17559.559999999998
2018-02-19,16620.250000000004
2018-02-26,17592.379999999997
2018-03-05,15765.54
2018-03-12,19247.47
2018-03-19,20121.75
2018-03-26,17389.3
2018-04-02,19878.60000000001
2018-04-09,20461.37
2018-04-16,18200.75999999999
2018-04-23,18333.930000000008
2018-04-30,20766.33
2018-05-07,15733.089999999998
2018-05-14,25039.309999999994
2018-05-21,13838.47
2018-05-28,15711.61
2018-06-04,20069.939999999995
2018-06-11,18280.829999999998
2018-06-18,22999.240000000013
2018-06-25,16899.100000000002
2018-07-02,14041.779999999997
2018-07-09,9475.029999999997
2018-07-16,19604.819999999996
2018-07-23,16074.229999999996
2018-07-30,23544.300000000017
2018-08-06,20864.28000000001
2018-08-13,22643.900000000012
2018-08-20,11197.949999999997
2018-08-27,1227.17
